Level,Dimension,log10_alpha,log10_mass_GeV,log10_wavelength_meters,log10_N_weyl
171,394810887814999156320699623170776339,-8.251059578945577e+34,-8.251059578945577e+34,8.251059578945577e+34,141.3063752372657
172,638817435613190341905763972389505493,-1.335049484193434e+35,-1.335049484193434e+35,1.335049484193434e+35,142.14232579826563
173,1033628323428189498226463595560281832,-2.1601554420879915e+35,-2.1601554420879915e+35,2.1601554420879915e+35,142.97827635926555
174,1672445759041379840132227567949787325,-3.495204926281426e+35,-3.495204926281426e+35,3.495204926281426e+35,143.81422692026544
175,2706074082469569338358691163510069157,-5.655360368369417e+35,-5.655360368369417e+35,5.655360368369417e+35,144.65017748126536
176,4378519841510949178490918731459856482,-9.150565294650843e+35,-9.150565294650843e+35,9.150565294650843e+35,145.48612804226528
177,7084593923980518516849609894969925639,-1.4805925663020258e+36,-1.4805925663020258e+36,1.4805925663020258e+36,146.3220786032652
178,11463113765491467695340528626429782121,-2.3956490957671103e+36,-2.3956490957671103e+36,2.3956490957671103e+36,147.15802916426512
179,18547707689471986212190138521399707760,-3.876241662069136e+36,-3.876241662069136e+36,3.876241662069136e+36,147.99397972526504
180,30010821454963453907530667147829489881,-6.271890757836246e+36,-6.271890757836246e+36,6.271890757836246e+36,148.82993028626495
181,48558529144435440119720805669229197641,-1.0148132419905384e+37,-1.0148132419905384e+37,1.0148132419905384e+37,149.66588084726484
182,78569350599398894027251472817058687522,-1.6420023177741629e+37,-1.6420023177741629e+37,1.6420023177741629e+37,150.50183140826476
183,127127879743834334146972278486287885163,-2.6568155597647015e+37,-2.6568155597647015e+37,2.6568155597647015e+37,151.33778196926468
184,205697230343233228174223751303346572685,-4.298817877538864e+37,-4.298817877538864e+37,4.298817877538864e+37,152.1737325302646
185,332825110087067562321196029789634457848,-6.955633437303565e+37,-6.955633437303565e+37,6.955633437303565e+37,153.00968309126452
186,538522340430300790495419781092981030533,-1.125445131484243e+38,-1.125445131484243e+38,1.125445131484243e+38,153.84563365226444
187,871347450517368352816615810882615488381,-1.8210084752145997e+38,-1.8210084752145997e+38,1.8210084752145997e+38,154.68158421326436
188,1409869790947669143312035591975596518914,-2.9464536066988425e+38,-2.9464536066988425e+38,2.9464536066988425e+38,155.51753477426425
189,2281217241465037496128651402858212007295,-4.767462081913442e+38,-4.767462081913442e+38,4.767462081913442e+38,156.35348533526417
